"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"Silvia Colantonio"|"Ho soggiornato con il mio compagno in questa meravigliosa struttura (pacchetto suite e spa). Personale gentilissimo, suite pulita ed accogliente. La spa privata è eccezionale e presenta Tutto per rendere speciale un'ora. Colazione abbondante. Che dire....il Paradiso in Terra!"|"Halanus Hotel & Resort"|"05/07/2019"|"TRAINING"|"lx"|""
"Silvia P"|"Arrivati il sabato per il primo fine settimana in campeggio. Ci fanno notare che hanno fatto un eccezione ad accoglierci in quanto chiedono permanenza per almeno due notti.. l'osservazione con tono scortese è stata 'siamo un villaggio non uno stabilimento balneare.....eppure l.insegna allesterno indica un camping... La domenica, con il campeggio quasi vuoto, ci dicono di smontare e lasciare il campeggio entro le 10! Chiediamo di lasciare la macchina nel parcheggio e restare in spiaggia per qualche ora ed inizialmente ci fanno una concessione eccezionale, poi ci dicono che non è possibile.. Volevamo pranzare al ristorante, ma non ci è stato possibile... Animazione...questa sconosciuta...Pulizia della nostra piazzola dagli aghi di pino effettuata durante le operazioni di smontaggio della tenda ( con tutto il campeggio libero..)Docce calde a pagamento. Unici punti a favore: - accesso diretto alla bellissima spiaggia non privata (piccola ma vivibile a giugno).- personale del bar e del market gentile.  Conclusioni: mi dispiace per il posto ma non ci torneremo la gentilezza è per noi requisito fondamentale di qualsiasi struttura ricettiva. con alle spalle quarant'anni di campeggio, risposte di questo tipo, soprattutto nei primi giorni di giugno, a camping deserto, non ne abbiamo mai ricevute..."|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"so"|""
"silvie1976"|"Abbiamo soggiornato in questo hotel per festeggiare il nostro anniversario. Dire perfetto è il minimo. La camera, una suite, era spaziosa, pulita e il letto tra i più comodi! In camera all’arrivo ci aspettava un vassoio di fragole e bollicine per festeggiare. Magico! Abbiamo cenato al ristorante dell’hotel e anche in questo caso la cena è stata squisita e il personale educato, professionale e preparato.  Consigliato e speriamo di ripetere questa magnifica esperienza quanto prima. …"|"Enterprise Hotel"|"05/07/2019"|"TRAINING"|"lx"|""
"Simona B"|"Ho scelto questo campeggio per caso. Ottimo posto, tranquillo e molto pulito. Noi eravamo in camper e siamoo stati benissimo. se dovessi ritornare in val pusteria ritornerei in questo campeggio. Lo consiglio vivamente."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"|""
"Sofia P"|"Posto bellissimo, molto organizzato, ordinato e pulito. Lo staff gentilissimo e disponibile. Piscine e mare a due passi dalle ecounit in cui abbiamo alloggiato in 5 persone, pulite e accoglienti. All’interno del Camping sono presenti bar, ristorante, gastronomia e qualche negozietto di abbiglimento e un negozio che vende un po’ di tutto, dalle ciabatte ai giornali, agli articoli per la casa. Animazione per tutte le età oppure, per una serata diversa consiglio un giro nella vicina Lido di Jesolo (10-15 minuti di macchina). Qualità prezzo ottima , super consigliato!!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"sp"|""
"stefaniabonini"|"Siamo stati in camper due notti in occasione della Cortina-Dobbiaco Run: splendida accoglienza e disponibilità ad ogni richiesta, personale gentilissimo è sempre presente. Il campeggio è organizzato, pulito , silenzioso e curato...è e rimarrà la nostra tappa in Val Pusteria!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"|""
"Stefano B"|"Siamo stati una notte, ci torneremo a breve, personale gentile, stanze pulite e ristorante interessante. La posizione è strategica a pochi metri dalla funivia. Panorama da cartolina. Le stanze sono un po' piccole ma plausibile vista ?altitufine."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"|""
"Stefano C"|"Situato al confine con il Parco è in una posizione invidiabile. Si presenta come un vero agriturismo completo di tutti gli animali del contesto.Note negative i materassi di cui si sentono le molle e le mosche che anche se scontate per un posto simile imperversano accanite.Di positivo si mangia bene e la signora è molto gentile e disponibile.Il prezzo però è alto 270 € per camera mezza pensione due adulti e due bambini menù fisso."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"sp"|""
"sterobigre"|"Scegliamo questo hotel per weekend a Bologna. Preferiamo essere a 1-1,5 km dal centro ma con la possibilità di parcheggio per auto (gratuito all'aperto per una decina d'auto, e sotterraneo per 5 Eur al giorno) sopratutto considerato che Bologna ha ZTL praticamente in tutto il centro storico e parcheggi solo a pagamento. Al momento della prenotazione troviamo conveniente il prezzo di 90 Eur con colazione per un 4 stelle. Struttura abbastanza nuova, camere ampie e confortevoli, con bagno grande e doccia molto ampia. Buone le rifiniture, incluso il parquet per terra. Qualche intoppo con la climatizzatine, risolto in una decina di minuti. Abbiamo trovato il materasso (Dorelan) un pò duro, ma ovviamente è  nostra valutazione personale perché abituati a casa con un memory. Colazione buona alla quale a mio avviso manca ancora qualcosa per avere pieni voti, considerato che siamo in un 4 stelle. Personale gentilissimo.  Rapporto qualità prezzo molto positivo…"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"|""
"sunriseb38"|"Camping delizioso per una bella vacanza in Val Pusteria. Posizione ottimale sia per la ciclabile, che passa appena fuori il campeggio, sia per i bus con fermata dedicata (e il camping offre compresa nel prezzo la card Alta Pusteria per girare con treno e bus in tutta la valle gratuitamente).Pulitissimi i servizi e le varie aree di sosta, e tanta cortesia e professionalità Torneremo sicuramente"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"sp"|""
"tata1981"|"Posto trovato praticamente per caso che si è rivelato una bellissima sorpresa.Curatissimo, personale molto gentile e capace di farti sentire a casa.Cibo squisito.Peccato per la giornata di mal tempo ma questo non ci ha impedito di goderci appieno l'area esterna.Pareva d essere all'interno di un parco faunistico.numerose specie, alcune davvero particolari, interessante soprattutto l'allevamento di lama e di alpaca.numerose le possibilità di organizzare escursioni nei dintorni, trekking, passeggiate con i lama, attività per adulti e per bambini.Noi abbiamo solamente pranzato pertanto non possiamo dare informazioni in merito alle stanze.Ci torneremo di sicuro!!!!!!Davvero una bellissima scoperta immersa nella natura."|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"so"|""
"TERESA"|"Ottima struttura,  nn da meno la pulizia ,ideale per vacanze di famiglia , ma anche in coppia ! Siamo stati ottimamente, ideale per stare tranquilli e godersi le vacanze ... penso che ritorneremo molto volentieri"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"|""
"Thuy Dotti"|"Da subito ci siamo trovati benissimo, animazione eccellente sempre molto gentili e cortesi. I nuovi bagni sono eccezionali in quanto per ogni doccia hanno anche all'interno il water e il lavandino. L'unica pecca è la spiaggia che non è molto grande e in alcuni punti ci sono gli scogli per andare in mare."|"Camping Village Capo d'Orso"|"05/07/2019"|"TRAINING"|"so"|""
"Tiberio S. d"|"Perfetto nel complesso.Colazione abbondante , personale gentile , tv con sky,  letti comodi e spaziosi.Igiene perfetta.Collegata perfettamente con tutti i punti della città usando la metro che si trova dietro l' angolo della strada dell' hotel.Da ritornarci"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"|""
"Tiziana_Sanz"|"Abbiamo soggiornato presso il camping capo d'orso dal 4 al 18 agosto 2018 in soluzione bungalow family insieme ad un'altra famiglia. Il camping è in via di miglioramento ma a parte l'aspetto strutturale ci sono altre cose da migliorare subito. Iniziamo dagli aspetti positivi: la posizione dei bungalow ottima perché vicina ai giochi per bambini, animazione, market, bar, reception e ristorante i bambini (di 3 e 4 anni) si sono divertiti tantissimo ed erano liberi di andare e venire dai giochi in libertà, insomma una bella autonomia l'animazione per i bambini molto coinvolgente. Veniamo agli aspetti diciamo da migliorare: l'Accoglienza. Abbiamo prenotato in 2 famiglie facendo presente di stare con i bungalow vicini e alla fine secondo il camping vicini vuol dire avere il muro della cucina in comune (ma non posso sfondare la cucina per andare dall'altra parte, non si sono porte comunicanti) con le due terrazze una all'opposto dell'altra, quindi per raggiungerci a vicenda dovevamo uscire dalla casa, superare due bungalow, girare a destra e superare un altro bungalow. E alla richiesta di spostarci, ovviamente non c'erano disponibilità... Peccato che abbiamo prenotato a marzo 2018. Va bhe passi... Ci adattiamo, siamo in vacanza. Ulteriore miglioria: le spiagge non sono sempre al massimo della bellezza, ma è il mare si sa. Però dai bungalow family per raggiungere la spiaggia è tutta un saliscendi non indifferenti che con il sole delle 14 ti sciogli al solo guardare l'asfalto. Per un po' d'ombra con le piante non si può fare molto, la natura deve fare il suo corso ... Ma un servizio navetta interno che aiuti le famiglie che hanno bisogno a ritornare al bungalow o casa o piazzola, dovrebbe esserci. Ultimo aspetto negativo: il ristorante. La parte da asporto è molto da potenziare. Noi ogni volta che abbiamo chiesto sughi da portare via o altri piatti dovevano consultarsi in 2/3 persone per dirci se si poteva fare e il costo. Questo dovrebbe essere un servizio standard in un camping. Inoltre abbiamo mangiato solo 1 volta al ristorante dopo aver pregato di avere un tavolo visto che il giorno dopo saremmo partiti. Noi avremmo anche prenotato alle 18 (in realtà sono andata alle 16 e mi hanno detto di tornare alle 18), ma se il campeggio è grande e il ristorante è piccolo non puoi dirmi che non c'è posto. Ti velocizzi, fai più turni per mangiare, allestisci altri posti, insomma siamo in alta stagione. Però poi non mi fai aspettare più di 1 ora per fare uscire i primi. Sarà che sono di Milano e qui se non sei veloce ed efficiente sei fuori dal mercato. Ad ogni modo la vacanza è stata piacevole, non fraintendete... Abbiamo girato diverse spiagge e ci siamo divertiti. Questi sono solo suggerimenti sia per il camping sia per chi è in procinto di prenotare... Noi per il momento proveremo qualche altro posto."|"Camping Village Capo d'Orso"|"05/07/2019"|"TRAINING"|"so"|""
"tommaso p"|"Bellissimo villaggio, curato e molto pulito, con uno splendido piccolo parco acquatico per bambini e adulti e piscina riscaldata all'aperto .Ben tenuta ed attrezzata la spiaggia, il nuovo ristorante da verso il mare, si mangia di tutto e molto bene.Abbiamo alloggiato in una Ecolife unit, casetta per 4/5 persone con un bel terrazzo e dotata di tutti gli accessori.Siamo stati benissimo, ci siamo divertiti e rilassati.L' animazione è presente ma molto discreta e sono veramente tutti gentili.La sera se si vuole passeggiare e fare  shopping, molto carino e vicino il lido di Jesolo.Ci torneremo sicuramente l' anno prossimo."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"so"|""
"tommint67"|"Ai piedi dell’ingresso del Parco del Gran Paradiso, agriturismo ruspante con ristorante annesso. Ovviamente reception inesistente: al nostro arrivo abbiamo dovuto rintracciare la titolare che serviva ai tavoli del ristorante, dopo essere stati totalmente ignorati da 2 dipendenti di passaggio. Camera in stile montano, ampia ma poco ospitale e vista stalla: 190 euro. Cena al ristorante, con menù fisso flan, tagliatelle e petto di pollo: 30 euro a testa bevande escluse. Chiesto degli asciugamani in piu’: li stiamo ancora aspettando! Buona la colazione. La struttura è gradevole, in posizione invidiabile ma non può proporre prezzi da 4 stelle in centro Milano senza dare servizi adeguati: totalmente fuori mercato. Non consigliato a questi prezzi.…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"sp"|""
"totog71"|"Ottima soluzione su Bologna per riposare lontani dal Caos ma. In un contesto tranquillo e centrale. Ottima anche la Colazione ed rapporto qualità prezzo. Unica pecca la mortadella non all'altezza della situazione."|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TRAINING"|"sp"|""
"TrashPolka"|"Abbiamo soggiornato 2 settimane in modulo 2+2 hplus. I primi 3 giorni per nostra scelta siamo stati in una H 2+1, molto piccola è scomoda soprattutto se hai un bimbo di 1 anno. La 2+2 H Plus molto più spaziosa. Arredamento nuovo e casetta pulita. Il camping è molto vasto ma ci si gira facilmente. Il mare è a 5 minuti a piedi e il centro a 10 minuti in bicicletta. L offerta ombrelloni molto conveniente , un po’ meno L affitto delle biciclette. Nel complesso ci siamo trovati molto bene. Anche per alcuni problemi che abbiamo avuto , risolti in giornata. L animazione secondo me è un po’ da rivedere. Penso che ci ritorneremo ."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"sp"|""
"Valentina B"|"Abbiamo passato 1 notte in una delle loro suite , molto molto carina curata nei dettagli e molto caratteristica, vista meravigliosa dal balcone. Il servizio ottimo, noi siamo un po’ esigenti ma lo staff è riuscito ad accontentarci in tutte le nostre richieste sempre con il sorriso e la cortesia. Lo raccomando per chi desidera una vacanza in tranquillità e immerso nella natura.Sottolineo ancora la disponibilità e gentilezza del personale. Torneremo sicuramente …"|"Chalet Lago Antorno"|"05/07/2019"|"TRAINING"|"lx"|""
"Valentina D"|"Ho trascorso la notte di Pasquetta in questo hotel nella suite dell'Acqua con all'interno la vasca idromassaggio, è stato spettacolare, in totale relax.Stanza pulita e molto accogliente. Personale gentilissimo. E' stato un ottima scelta, ci tornerei volentieri."|"Halanus Hotel & Resort"|"05/07/2019"|"TRAINING"|"lx"|""
"valeriaungaro"|"Il camping è davvero molto bello. Accogliente sia dal punto di vista del personale,sia nella cura della struttura. Spazio molto grande e ben segmentato, i bagni sempre molto puliti. All'interno c'è un ristorante,una gelateria,un bar e un negozio di alimentari(Crai). Sono presenti anche due bazzar!!…"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"|""
"Vali0001"|"Campeggio che merita sotto tutti gli aspetti.....pulito,ben attrezzato,servizi igienici ben tenuti,spiaggia e mare stupendi.Esperienza molto positiva.Piazzuole spaziose,market ben rifornito,ristorante e bar con qualità e prezzo buoni."|"Camping Village Capo d'Orso"|"05/07/2019"|"TRAINING"|"sp"|""
"VerdurasFamily"|"Camera moderna e pulita, letto comodo. Temperatura ottimale. Accesso con tessera elettronica. Sistema luci tuch ad icone comodo e semplice. Spazi di appoggio abbondanti, armadio comodo e illuminato. Enorme porta finestra che da su un bel balconcino (ma non è zona per guardare il panorama). Bagno con doccia enorme. Soffione e doccetta con pressione più che abbondante e temperatura acqua sempre calda!Colazione con molta scelta.Riposato bene quindi soddisfatto."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"ce"|""
"Vir90"|"Ottimo soggiorno, ottimo albergo, ottima la pulizia e buonissima la colazione della mattina. Il personale gentile ed educato. Consiglio questo posto in quanto è anche vicinissimo al centro, con 5 minuti di macchina si arriva facilmente."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"|""
"wandrlst15"|"Cena in questo agriturismo che ritengo bellissimo: il luogo, immerso nel verde, È molto particolare e rilassante, tutto il parco intorno con animali e percorsi da fare a piedi sono veramente graziosi. Parlando del pasto: cibo veramente buono in porzioni abbondanti ( consigliato l'antipasto con tagliere di salumi e formaggi!) ed il prezzo è veramente conveniente. Adatto anche a vegetariani ( avvisate magari prima ). Consigliato, soprattutto in periodi primaverili in cui godervi anche l'esterno!"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"sp"|""
"Wittgenstein55"|"Un posto speciale, ordinato pulito. Curato nei minimi dettagli non manca nulla. e il prezzo e veramente conveniente. La vicinanza al parco della musica rende ancora piu conveniente il soggiorno nella struttura"|"Parioli Bed & Business"|"05/07/2019"|"TRAINING"|"sp"|""
"Worktrotter"|"Accoglienza cordiale, stanza ampia e pulita, ottimamente insonorizzata, letto comodo. Colazione soddisfacente, personale gentile. Rapporto qualità/prezzo ottimo. Certamente un hotel che ha bisogno di una ristrutturazione, ma mi aspettavo dalle recensioni lette una catastrofe. Invece, ho trovato un ambiente accogliente e piacevole."|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"sp"|""
"Zex"|"Piccolo ma veramente delizioso campeggio. Siamo stati qui per un fine settimana con un camper in 5. Piazzola media ma ben servita, market piccolino ma con la giusta offerta. Servizi completi, bagni molto ben curati, ristorante associato molto delizioso e gustoso. È stato un fine settimana decisamente rilassante e molto goduto. Ci tornerò di sicuro. …"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"|""
"Marco P"|"Ottima struttura e personale cordiale. Lo consiglio vivamente. La struttura è molto moderna e funzionale. Non è molto distante dal centro di bologna, a piedi si impiegano circa 25 min per raggiungere il centro di Bologna."|"Savhotel"|"05/07/2019"|"TRAINING"|"ce"|""
"Lidia F"|"La competenza, la professionalità e la singolare gentilezza di tutto il personale, l'ho riscontrata fin dalla prima telefonata fatta per conoscere l'albergo. L'accoglienza è stata calda e gioviale oltre che professionale. Durante la nostra permanenza, abbiamo potuto usufruire di una palestra e del solarium con Jacuzzi, lettini per rilassarsi, tavolini e sedie per gustarsi volendo, un buon drink in terrazza. La stanza molto ben arredata e completa di tutto, io avevo preso una Superior. Il ristorante è tra le note di merito dell'albergo, ottima la cucina e impeccabile il personale. Consiglio assolutamente questo albergo a chi desidera soggiornare a Bologna, 5 stelle meritatissime. Torneremo di sicuro qui se dovessimo tornare a Bologna.…"|"Savhotel"|"05/07/2019"|"TRAINING"|"so"|""
"piperita p"|"Ci siamo  fermati solo due notti ma è  stata una  esperienza positivissima. Location  incantevole, proprietari gentilissimi e professionali. Rapporto qualità  prezzo imbattibile. Lo consiglio vivamente anche  perché  in posizione  strategica  per visitare Taormina  e dintorni pur essendo  tranquillo e silenzioso, immerso come è  in un grande aranceto. Notevole anche la colazione con dolci freschi prodotti di alta qualità  . Ci torneremo  sicuramente …"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"sp"|""
"max15126"|"ho soggiornato presso questa struttura dopo aver letto varie recensioni, che aggiungere ancora, tutto ottimo , la casa è inserita in un aranceto e si può fare la colazione all'aperto . Le stanze e il bagno sono perfetti e pulitissimi.un grazie  a Alessandro e Laura."|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"so"|""
"Federico C"|"Ottima location ottima sistemazione. Una perfetta sistemazione per chi vuole visitare Taormina e dintorni. Facile da raggiungere.Stanza perfetta ed ampia. Nulla da eccepire. Servizio ottimo e prima colazione molto soddisfacente.Un punteggio pieno a 5 stelle !Alla prossima"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"ce"|""
"Anna S"|"Ne avrei date 10,100,1000 di stelle ma il massimo è 5....solo di cortesia da parte di Laura e Alessandro e dalla simpatia del mitico amico a 4 zampe....ci hanno aiutato a trovare tutte le località indicandoci le vie da percorrere e sempre disponibili a tutto pur di aiutarci essendo la prima volta in Sicilia!!!! Appena arrivate ci siamo trovate immerse da aranceti dal profumo fantastico, camera con visuale panoramica e difronte a noi l Etna... Lontane dal caos cittadino, abbiamo respirato pace e tranquillità!!!! camere ampie, pulizia eccellente, colazione ricca di tutto, dal dolce al salato!!! Rapporto qualità prezzo ottimo!!!! Sarei rimasta volentieri un altra settimana!!!! Davvero davvero tutto fantastico"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"sp"|""
"Stefania D"|"Da subito abbiamo riscontrato gran cortesia e disponibilità da parte di Alessandro, dalla fase della prenotazione al ricevimento in struttura. Gentilissima la moglie e simpaticissimi, una gran accoppiata. Disponibilissimi anche nell'indicarci spiagge e paesi da visitare e locali dove poter cenare con piatti locali. Camere pulite e colazione abbondante. il Top. Grazie mille per il splendido soggiorno. Stefania e Massimo"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"so"|""
"Giuseppe R"|"Ottimo luogo per un soggiorno tranquillo a pochi minuti da Taormina ed altre località turistiche. Camere ampie e pulite. Colazione ottima. Bella tutta la sistemazione degli esterni compreso un agrumeto che circonda il luogo. Molto gradevole  la vasca esterna  con vista Etna per piacevole idromassaggio pomeridiano al rientro."|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"ce"|""
"Gierre90"|"Io e il mio ragazzo abbiamo soggiornato in questo b&b tre notti. L’abbiamo scelto grazie alle recensioni positive degli utenti di Tripadvisor e non possiamo che confermare: posto meraviglioso vicino a Taormina e Giardini Naxos, ma nella quiete di un aranceto stupendo con vista sull’Etna camera e bagno molto spaziosi e dotati di ogni confort (materasso molto comodo, cassaforte, frigo, bollitore, ecc.) pulizia molto accurata sia in camera che negli spazi comuni posto auto proprietari deliziosi, amanti del proprio lavoro e pronti a fornire consigli su luoghi da visitare e ristoranti nella zona colazione dolce e salata sempre fresca e varia, consumabile all’interno o in giardino vasca idromassaggio a disposizione dei clienti. Insomma, lo consiglio davvero a tutti! Grazie ancora ai proprietari!"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"ce"|""
"luisa19562018"|"B&B ottimo per chi vuole visitare la zona di Taormina e dell'Etna soggiornando in un luogo tranquillo. In pochi chilometri si raggiungono le spiagge di Giardini Naxos e le località turistiche della zona. Molto gentili i proprietari, che ci hanno ben consigliato anche sui ristoranti. Molto buone le camere, ottima la colazione, gradevolissimo l'ambiente (prato, giardino, vasca idromassaggio). Tornerei senz'altro."|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"ce"|""
"notturnoitaliano"|"In questo posto meraviglioso e accogliente ci ha dato una gioia immensa di ritornare e trovare una accoglienza sempre stupenda e cordiale. La camera bella moderna, spaziosa e soleggiata che ci fatti sentire subito a nostro agio, i prodotti della colazione ogni giorno freschi fatti da Laura e Alessandro. La gentilezza estrema dei propietari ci ha fatti sentire come a casa. Lo consigliamo di cuore ai viaggiatori che si recano in Sicillia. A presto, grazieeeeee!!!!! Giuseppe e Natali"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"so"|""
"Anna P"|"Ho soggiornato una sola notte insieme al mio ragazzo in questo B&B .. che dire.. fantastico.. struttura moderna immersa nel verde, curata in ogni minimo dettaglio, pulizia eccellente, personale disponibile e gentile! Lo consiglio !"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TRAINING"|"ce"|""
"ToninoBua"|"Hotel datato,ma accettabile. Buona pulizia,posizione ottima 100 metri da corso Umberto. Tv in camera molto piccolo,io ho preso una Superior ristrutturata da poco,ho visto le altre camere standard e non sono state di mio gradimento. Personale eccezionale,garbato e gentile."|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"Fabio P"|"Siamo stati in questa splendida struttura in occasione di un evento enogastronomico. Molto comodo, pulito e ben fatto. Oltre a tutti i pregi elencati si trova al centro di Taormina e non è poco! Ritorneremo ... CONSIGLIATISSIMO"|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"Rossana Cosselli"|"Hotel molto grazioso, centralissimo, situato a pochi passo dal meraviglioso centro di Taormina, personale gentilissimo e disponibile. Camere pulite e spaziose, dotate di ogni confort necessario. Colazione ottima da gustare in terrazza con una vista mozzafiato che se ci penso ancora adesso è da brivido!  Ci torneremo sicuramente perchè ci siamo trovati davvero benissimo, complimenti per tutto, continuate così!…"|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"Giramondo"|"A due e dico due passi dal magnifico lungomare di Reggio l’hotel offre camere spaziose, dall’arredamento spartano ma molto più che funzionale, dotate di frigo bar e bagni ampi e pulitissimi ( ho sfruttato varie volte la struttura e sono sempre stato soddisfatto). Alcune stanze sono con splendida vista mare ... altre danno sulla strada. Quelle vista mare sono non solo con vista migliore ma anche più silenziose ovviamente.  Meglio chiedere vista mare all’atto prenotazione anche se io sono stato bene in tutte. La colazione ( dalle 7 alle 10) e’ di soddisfazione. Non propone cibi caldi ma i dolci sembrano fatti in casa ... davvero ottimi ( meno le brioche). L’accoglienza e’ sempre ottima e la gentilezza non è mai mancata. Ogni volta che vado a Reggio alloggio qui.. e continuerò a farlo."|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"Umberto P"|"A due passi da piazza Duomo a Taormina, hotel non nuovissimo ma ben tenuto, camera superior ristrutturata da poco, accogliente e pulita, colazione buona servita su una splendida terrazza panoramica. Antonio alla reception un esempio di cordialità ed ospitalità."|"Hotel Continental"|"05/07/2019"|"TRAINING"|"so"|""
"antoniafo"|"Il mio soggiorno a Taormina non sarebbe stato così piacevole se non avessi avuto la fortuna di pernottare in questa struttura. Gentilezza e disponibilità del personale, della reception ma anche della sala ristorante, pulizia delle stanze ed eccellenza della colazione rendono questo albergo uno dei più belli nei quali abbia mai pernottato. Non mi ritrovo affatto nelle recensioni negative che parlano di colazioni scarse e di camere vecchie: la prima era squisita e le seconde nuovissime. Un angolo di paradiso situato al centro di Taormina e che offre tutte le comodità idonee a rendere una villeggiatura memorabile. Complimenti!"|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"angelo d"|"Hotel in posizione centrale dalle cui finestre nei giorni di sereno si puo' ammirare l'etna e la spaggia di Giardini Naxos, camere pulite e confortevoli, personale gentilissimo e sempre pronto ad esaudire ogni richiesta. Consigliato vivamente."|"Hotel Continental"|"05/07/2019"|"TRAINING"|"ce"|""
"Dolcesinfundo"|"Siamo rimasti molto contenti del nostro soggiorno, a partire dal check in dettagliato e accogliente, la camera molto pulita in ogni dettaglio, abbiamo anche preso qualcosa da bere al bar gentilmente accompagnato da un tagliere di deliziosi formaggi e per non parlare della colazione la mattina con un ottimo caffè con vista mare e monti (Etna), non ci sono parole per descrivere la gentilezza e l'attenzione di tutto il personale. Vivamente consigliato"|"Hotel Continental"|"05/07/2019"|"TRAINING"|"so"|""
"peppedif"|"Soggiorno molto piacevole e rilassante, con vista unica che racchiude il vulcano Etna ed il golfo di Naxos! Personale molto attento e meticoloso! La camera stupenda e molto pulita. La struttura dispone di una piscina con vista! Sono inoltre disponibili dei servizi navetta per il centro storico di Taormina ed anche per il mare! La colazione sia salata che dolce danno la possibilità, tra i vari prodotti disponibili, di gustare delle prelibatezze legate al territorio! Consigliatissimo!…"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"ce"|""
"Tacla89"|"A seguito di una cena romantica e deliziosa presso il ristorante di Villa Ducale, che si presenta  riservato, curatissimo e con vista mozzafiato sull’Etna e sul golfo di Giardini Naxos, io e il mio compagno abbiamo avuto modo di pernottare ln una delle suite dell’albergo.  E che dire, tutto magnifico! La location più bella che io abbia mai visto, un vero e proprio angolo di paradiso !  La suite, pulitissima, elegante e spaziosa, gode di tutti i comfort. Anche in questo, cosi come per tutta la struttura in generale, si vede riflesso il buon gusto dei proprietari, gentilissimi ed ospitali !  La consiglio a chiunque volesse trascorrere dei giorni di paesia e relax a Taormina !…"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"ce"|""
"CMI06"|"Posizione magnifica e panoramica! Hotel dotato di ogni comfort, facile da raggiungere, camere comode e moderne, personale gentilissimo e disponibile, colazione eccezionale. Paragonabile a pochi altri hotel in cui siamo stati, assolutamente consigliato,"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"ce"|""
"Beatrice B"|"Location magnifica arricchita da uno staff professionale ed accogliente. Le camera sono dotate di ogni confort. Vista incredibile. Certamente consigliato e presto ritorneremo a soggiornare in questa struttura!"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"ce"|""
"antonino1208"|"Sono stato ospite dell' hotel, servizio ottimo e personale qualificato e disponibile.La nostra camera bellissima e funzionale. Grazie all' hotel villa ducale che ha contribuito a rendere il mio soggiorno eccezionale"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"ce"|""
"TravelAgency"|"La posizione: con affaccio sul Pantheon. La qualità dell’albergo: di gusto tradizionale, dotato di tutti i confort della categoria. Le camere: accoglienti, molte con vista sul Pantheon. Il personale: cordiale, preciso e premuroso. La colazione: sufficientemente ricca e assortita. Il rapporto qualità prezzo: buono, in relazione a quanto sino a qui elencato. Se volete trattarvi bene, qui lo potete fare. …"|"Albergo del Senato"|"05/07/2019"|"TRAINING"|"sp"|""
"Paolo B"|"Eravamo inizialmente dubbiosi più per la categoria del hotel che per altro invece siamo rimasti stupiti SERVIZIO, CAMERE,COLAZIONE da 4 stelle e conto da 3 stelle cosa volere di più (per favore NON CAMBIATE) aggiungiamo una posizione strategica ineguagliabile a mio parere perché ci si trova nel cuore del centro storico di Roma.…"|"Albergo del Senato"|"05/07/2019"|"TRAINING"|"ce"|""
